Feedback,Department,Sentiment
Power is gone from 4 hours in ward,Electricity,Neutral
Frequent electricity outages in ward,Electricity,Neutral
No fogging for mosquitoes in neighborhood,Sanitation,Neutral
No water supply from 4 days,Water,Neutral
No water in the tanks from 10 days,Water,Neutral
No water supply from 7 days,Water,Neutral
Voltage fluctuation in lane,Electricity,Neutral
Transformer is sparking in lane,Electricity,Neutral
People falling sick due to pollution in neighborhood,Public Health,Negative
No fogging for mosquitoes in our colony,Sanitation,Neutral
Frequent electricity outages in neighborhood,Electricity,Neutral
Potholes on the road in apartment area,Roads,Neutral
Voltage fluctuation in neighborhood,Electricity,Neutral
Medical shop is charging extra in ward,Public Health,Neutral
No fogging for mosquitoes in ward,Sanitation,Neutral
Water tap is leaking in our locality,Water,Neutral
No water in the tanks from 13 days,Water,Neutral
Construction work blocking roads in apartment area,Roads,Neutral
Open drains causing health issues in lane,Sanitation,Neutral
Facing water shortage in ward,Water,Neutral
Voltage fluctuation in our colony,Electricity,Neutral
Speed breakers missing in neighborhood,Roads,Negative
Open drains causing health issues in our colony,Sanitation,Neutral
Medical shop is charging extra in apartment area,Public Health,Neutral
No garbage collection from 13 days,Sanitation,Neutral
Medical shop is charging extra in apartment area,Public Health,Neutral
Drain is clogged in neighborhood,Sanitation,Neutral
Transformer is sparking in ward,Electricity,Neutral
Damaged roads in street,Roads,Neutral
No water in the tanks from 7 days,Water,Neutral
No fogging for mosquitoes in our colony,Sanitation,Neutral
Potholes on the road in our colony,Roads,Neutral
No fogging for mosquitoes in neighborhood,Sanitation,Neutral
Speed breakers missing in our colony,Roads,Negative
Overflowing dustbins in street,Sanitation,Neutral
Open drains causing health issues in lane,Sanitation,Neutral
Construction work blocking roads in lane,Roads,Neutral
Voltage fluctuation in ward,Electricity,Neutral
Overflowing dustbins in locality,Sanitation,Neutral
No water supply from 5 days,Water,Neutral
Drinking water quality is bad in our apartment area,Water,Negative
Overflowing dustbins in ward,Sanitation,Neutral
Power is gone from 10 hours in ward,Electricity,Neutral
Power cut every evening in our area,Electricity,Neutral
Street is filled with waste in neighborhood,Sanitation,Neutral
No fogging for mosquitoes in ward,Sanitation,Neutral
No garbage collection from 4 days,Sanitation,Neutral
Speed breakers missing in our colony,Roads,Negative
Street is filled with waste in locality,Sanitation,Neutral
Water supply is irregular in locality,Water,Neutral
Garbage not cleaned in our our colony,Sanitation,Neutral
No water supply from 7 days,Water,Neutral
Health camp not conducted from long in neighborhood,Public Health,Neutral
Speed breakers missing in neighborhood,Roads,Negative
Street is filled with waste in locality,Sanitation,Neutral
No proper street markings in apartment area,Roads,Neutral
Water tap is leaking in our our colony,Water,Neutral
Water pipeline burst in lane,Water,Neutral
Water pipeline burst in street,Water,Neutral
Street lights are not working in locality,Electricity,Neutral
No fogging for mosquitoes in our colony,Sanitation,Neutral
Open drains causing health issues in lane,Sanitation,Neutral
Power cut every evening in our area,Electricity,Neutral
Street is filled with waste in neighborhood,Sanitation,Neutral
Voltage fluctuation in neighborhood,Electricity,Neutral
No water supply from 10 days,Water,Neutral
No proper street markings in our colony,Roads,Neutral
Hospital is not providing proper service in ward,Public Health,Neutral
People falling sick due to pollution in lane,Public Health,Negative
No garbage collection from 6 days,Sanitation,Neutral
No water in the tanks from 13 days,Water,Neutral
Construction work blocking roads in street,Roads,Neutral
Speed breakers missing in our colony,Roads,Negative
Drinking water quality is bad in our apartment area,Water,Negative
No proper street markings in locality,Roads,Neutral
Voltage fluctuation in neighborhood,Electricity,Neutral
Frequent electricity outages in street,Electricity,Neutral
Water supply is irregular in ward,Water,Neutral
No water supply from 5 days,Water,Neutral
Water pipeline burst in neighborhood,Water,Neutral
Mosquitoes due to waste accumulation in ward,Sanitation,Negative
No proper street markings in apartment area,Roads,Neutral
Potholes on the road in apartment area,Roads,Neutral
Health camp not conducted from long in street,Public Health,Neutral
Frequent electricity outages in lane,Electricity,Neutral
Drinking water quality is bad in our our colony,Water,Negative
No water in the tanks from 14 days,Water,Neutral
Street is filled with waste in ward,Sanitation,Neutral
No proper street markings in apartment area,Roads,Neutral
Hospital is not providing proper service in neighborhood,Public Health,Neutral
Street is filled with waste in our colony,Sanitation,Neutral
Frequent electricity outages in apartment area,Electricity,Neutral
Water tap is leaking in our neighborhood,Water,Neutral
No fogging for mosquitoes in lane,Sanitation,Neutral
Water tap is leaking in our ward,Water,Neutral
No proper street markings in apartment area,Roads,Neutral
Garbage not cleaned in our apartment area,Sanitation,Neutral
No proper street markings in lane,Roads,Neutral
No fogging for mosquitoes in lane,Sanitation,Neutral
Street lights are not working in our colony,Electricity,Neutral
No garbage collection from 5 days,Sanitation,Neutral
Transformer is sparking in our colony,Electricity,Neutral
Hospital is not providing proper service in ward,Public Health,Neutral
Street is filled with waste in street,Sanitation,Neutral
Voltage fluctuation in street,Electricity,Neutral
No water in the tanks from 14 days,Water,Neutral
No water in the tanks from 2 days,Water,Neutral
Water pipeline burst in our colony,Water,Neutral
Street lights are not working in neighborhood,Electricity,Neutral
Mosquitoes due to waste accumulation in neighborhood,Sanitation,Negative
Construction work blocking roads in our colony,Roads,Neutral
Frequent electricity outages in apartment area,Electricity,Neutral
Drain is clogged in ward,Sanitation,Neutral
Frequent electricity outages in locality,Electricity,Neutral
Mosquitoes due to waste accumulation in locality,Sanitation,Negative
Hospital is not providing proper service in locality,Public Health,Neutral
Drinking water quality is bad in our locality,Water,Negative
Medical shop is charging extra in locality,Public Health,Neutral
Voltage fluctuation in street,Electricity,Neutral
Drain is clogged in apartment area,Sanitation,Neutral
Hospital is not providing proper service in ward,Public Health,Neutral
Drinking water quality is bad in our locality,Water,Negative
Potholes on the road in neighborhood,Roads,Neutral
Facing water shortage in lane,Water,Neutral
Drain is clogged in apartment area,Sanitation,Neutral
Garbage not cleaned in our ward,Sanitation,Neutral
Water tap is leaking in our street,Water,Neutral
Potholes on the road in ward,Roads,Neutral
Power is gone from 9 hours in street,Electricity,Neutral
Water pipeline burst in lane,Water,Neutral
Facing water shortage in lane,Water,Neutral
Hospital is not providing proper service in apartment area,Public Health,Neutral
Power cut every evening in our area,Electricity,Neutral
Hospital is not providing proper service in apartment area,Public Health,Neutral
No water supply from 14 days,Water,Neutral
Facing water shortage in neighborhood,Water,Neutral
Water pipeline burst in lane,Water,Neutral
Health camp not conducted from long in locality,Public Health,Neutral
Construction work blocking roads in neighborhood,Roads,Neutral
Potholes on the road in lane,Roads,Neutral
Potholes on the road in neighborhood,Roads,Neutral
Open drains causing health issues in neighborhood,Sanitation,Neutral
Drain is clogged in ward,Sanitation,Neutral
Overflowing dustbins in locality,Sanitation,Neutral
No proper street markings in neighborhood,Roads,Neutral
People falling sick due to pollution in ward,Public Health,Negative
No proper street markings in our colony,Roads,Neutral
No water in the tanks from 2 days,Water,Neutral
Voltage fluctuation in neighborhood,Electricity,Neutral
Water supply is irregular in our colony,Water,Neutral
Power is gone from 7 hours in apartment area,Electricity,Neutral
Power is gone from 8 hours in street,Electricity,Neutral
Voltage fluctuation in locality,Electricity,Neutral
People falling sick due to pollution in lane,Public Health,Negative
Medical shop is charging extra in neighborhood,Public Health,Neutral
No garbage collection from 5 days,Sanitation,Neutral
No water supply from 8 days,Water,Neutral
Damaged roads in apartment area,Roads,Neutral
Voltage fluctuation in lane,Electricity,Neutral
Street is filled with waste in locality,Sanitation,Neutral
Potholes on the road in our colony,Roads,Neutral
No fogging for mosquitoes in lane,Sanitation,Neutral
Garbage not cleaned in our our colony,Sanitation,Neutral
Medical shop is charging extra in locality,Public Health,Neutral
Drain is clogged in neighborhood,Sanitation,Neutral
No water in the tanks from 14 days,Water,Neutral
No fogging for mosquitoes in apartment area,Sanitation,Neutral
Water supply is irregular in ward,Water,Neutral
Water tap is leaking in our street,Water,Neutral
No proper street markings in street,Roads,Neutral
Medical shop is charging extra in locality,Public Health,Neutral
Power is gone from 10 hours in locality,Electricity,Neutral
Street is filled with waste in our colony,Sanitation,Neutral
People falling sick due to pollution in locality,Public Health,Negative
Hospital is not providing proper service in lane,Public Health,Neutral
No proper street markings in apartment area,Roads,Neutral
Street is filled with waste in neighborhood,Sanitation,Neutral
Transformer is sparking in apartment area,Electricity,Neutral
Water supply is irregular in lane,Water,Neutral
Drinking water quality is bad in our ward,Water,Negative
No water in the tanks from 2 days,Water,Neutral
Street lights are not working in neighborhood,Electricity,Neutral
Potholes on the road in our colony,Roads,Neutral
Water pipeline burst in neighborhood,Water,Neutral
Garbage not cleaned in our ward,Sanitation,Neutral
Speed breakers missing in street,Roads,Negative
Health camp not conducted from long in our colony,Public Health,Neutral
People falling sick due to pollution in ward,Public Health,Negative
Voltage fluctuation in our colony,Electricity,Neutral
Power is gone from 6 hours in locality,Electricity,Neutral
Overflowing dustbins in street,Sanitation,Neutral
Overflowing dustbins in street,Sanitation,Neutral
Hospital is not providing proper service in locality,Public Health,Neutral
Street is filled with waste in neighborhood,Sanitation,Neutral
Water supply is irregular in apartment area,Water,Neutral
Health camp not conducted from long in lane,Public Health,Neutral
Facing water shortage in ward,Water,Neutral
Construction work blocking roads in neighborhood,Roads,Neutral
Health camp not conducted from long in ward,Public Health,Neutral
Facing water shortage in neighborhood,Water,Neutral
Hospital is not providing proper service in apartment area,Public Health,Neutral
Transformer is sparking in neighborhood,Electricity,Neutral
No water supply from 2 days,Water,Neutral
Voltage fluctuation in ward,Electricity,Neutral
Overflowing dustbins in apartment area,Sanitation,Neutral
Facing water shortage in our colony,Water,Neutral
Street is filled with waste in lane,Sanitation,Neutral
Medical shop is charging extra in apartment area,Public Health,Neutral
Medical shop is charging extra in lane,Public Health,Neutral
Hospital is not providing proper service in ward,Public Health,Neutral
Open drains causing health issues in ward,Sanitation,Neutral
Garbage not cleaned in our lane,Sanitation,Neutral
Power is gone from 9 hours in our colony,Electricity,Neutral
Drinking water quality is bad in our street,Water,Negative
Overflowing dustbins in locality,Sanitation,Neutral
Transformer is sparking in lane,Electricity,Neutral
Hospital is not providing proper service in ward,Public Health,Neutral
Street lights are not working in street,Electricity,Neutral
Open drains causing health issues in lane,Sanitation,Neutral
Hospital is not providing proper service in locality,Public Health,Neutral
Damaged roads in street,Roads,Neutral
Street is filled with waste in street,Sanitation,Neutral
Water tap is leaking in our neighborhood,Water,Neutral
Transformer is sparking in our colony,Electricity,Neutral
Water supply is irregular in apartment area,Water,Neutral
People falling sick due to pollution in apartment area,Public Health,Negative
Power cut every evening in our area,Electricity,Neutral
Speed breakers missing in neighborhood,Roads,Negative
Open drains causing health issues in street,Sanitation,Neutral
No garbage collection from 8 days,Sanitation,Neutral
Drinking water quality is bad in our our colony,Water,Negative
Frequent electricity outages in neighborhood,Electricity,Neutral
Health camp not conducted from long in locality,Public Health,Neutral
No water supply from 8 days,Water,Neutral
Health camp not conducted from long in our colony,Public Health,Neutral
Construction work blocking roads in ward,Roads,Neutral
Construction work blocking roads in our colony,Roads,Neutral
No proper street markings in apartment area,Roads,Neutral
Street is filled with waste in ward,Sanitation,Neutral
No proper street markings in locality,Roads,Neutral
Water pipeline burst in lane,Water,Neutral
No garbage collection from 14 days,Sanitation,Neutral
Damaged roads in ward,Roads,Neutral
Facing water shortage in street,Water,Neutral
Transformer is sparking in street,Electricity,Neutral
No water in the tanks from 2 days,Water,Neutral
Overflowing dustbins in apartment area,Sanitation,Neutral
Transformer is sparking in neighborhood,Electricity,Neutral
Facing water shortage in ward,Water,Neutral
Street is filled with waste in ward,Sanitation,Neutral
Power is gone from 1 hours in apartment area,Electricity,Neutral
Potholes on the road in our colony,Roads,Neutral
Frequent electricity outages in apartment area,Electricity,Neutral
No water in the tanks from 7 days,Water,Neutral
Power is gone from 1 hours in our colony,Electricity,Neutral
Water pipeline burst in locality,Water,Neutral
Hospital is not providing proper service in ward,Public Health,Neutral
Overflowing dustbins in street,Sanitation,Neutral
Water supply is irregular in street,Water,Neutral
Transformer is sparking in ward,Electricity,Neutral
Drinking water quality is bad in our street,Water,Negative
Construction work blocking roads in locality,Roads,Neutral
Open drains causing health issues in lane,Sanitation,Neutral
No proper street markings in locality,Roads,Neutral
Potholes on the road in neighborhood,Roads,Neutral
Water supply is irregular in ward,Water,Neutral
Construction work blocking roads in neighborhood,Roads,Neutral
Drain is clogged in lane,Sanitation,Neutral
Water tap is leaking in our our colony,Water,Neutral
Overflowing dustbins in street,Sanitation,Neutral
Speed breakers missing in our colony,Roads,Negative
No fogging for mosquitoes in locality,Sanitation,Neutral
People falling sick due to pollution in apartment area,Public Health,Negative
No garbage collection from 14 days,Sanitation,Neutral
Hospital is not providing proper service in lane,Public Health,Neutral
Street is filled with waste in locality,Sanitation,Neutral
Health camp not conducted from long in locality,Public Health,Neutral
No water supply from 11 days,Water,Neutral
Construction work blocking roads in locality,Roads,Neutral
Power cut every evening in our area,Electricity,Neutral
Speed breakers missing in neighborhood,Roads,Negative
Drinking water quality is bad in our ward,Water,Negative
Hospital is not providing proper service in lane,Public Health,Neutral
Facing water shortage in lane,Water,Neutral
Potholes on the road in ward,Roads,Neutral
Water supply is irregular in street,Water,Neutral
No water in the tanks from 2 days,Water,Neutral
Voltage fluctuation in neighborhood,Electricity,Neutral
Water tap is leaking in our street,Water,Neutral
Construction work blocking roads in lane,Roads,Neutral
No proper street markings in neighborhood,Roads,Neutral
Power cut every evening in our area,Electricity,Neutral
Drinking water quality is bad in our apartment area,Water,Negative
Water tap is leaking in our ward,Water,Neutral
Street is filled with waste in street,Sanitation,Neutral
Transformer is sparking in our colony,Electricity,Neutral
No water supply from 5 days,Water,Neutral
Street is filled with waste in street,Sanitation,Neutral
Open drains causing health issues in street,Sanitation,Neutral
No water in the tanks from 11 days,Water,Neutral
Power is gone from 9 hours in street,Electricity,Neutral
Facing water shortage in locality,Water,Neutral
Health camp not conducted from long in our colony,Public Health,Neutral
Water tap is leaking in our lane,Water,Neutral
Potholes on the road in ward,Roads,Neutral
Power cut every evening in our area,Electricity,Neutral
Street is filled with waste in apartment area,Sanitation,Neutral
Power is gone from 1 hours in our colony,Electricity,Neutral
Water tap is leaking in our ward,Water,Neutral
No fogging for mosquitoes in our colony,Sanitation,Neutral
Transformer is sparking in lane,Electricity,Neutral
Water pipeline burst in ward,Water,Neutral
Open drains causing health issues in apartment area,Sanitation,Neutral
Damaged roads in our colony,Roads,Neutral
Damaged roads in locality,Roads,Neutral
No garbage collection from 12 days,Sanitation,Neutral
